Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
15,6,2,68,7,2
12,41,0,38,8,1
1,4,19,76,0,0
2,9,1,86,2,0
3,1,5,72,19,0
6,17,1,75,1,0
