,precision,recall,f1-score,support
Grade_1,0.22429906542056074,0.96,0.36363636363636365,25.0
Grade_2,0.5454545454545454,0.14285714285714285,0.22641509433962265,84.0
Grade_3,0.3684210526315789,0.1794871794871795,0.2413793103448276,39.0
accuracy,0.2905405405405405,0.2905405405405405,0.2905405405405405,0.2905405405405405
macro avg,0.3793915545022284,0.4274481074481074,0.27714358944027134,148.0
weighted avg,0.44455459125896896,0.2905405405405405,0.2535376359384167,148.0
