CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
3,0,1,0,0,0
4,0,0,0,0,0
2,1,3,0,0,0
19,4,9,0,0,0
35,3,21,0,0,0
11,1,9,0,0,0
