CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
1,0,0,1,0,0
2,0,0,1,0,0
0,0,0,0,0,0
4,0,0,0,0,0
6,0,0,5,3,0
2,0,0,0,0,0
