Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
45,2,4,23,0,26
0,100,0,0,0,0
0,1,98,0,0,0
0,3,0,83,0,14
3,7,2,9,67,12
3,1,0,8,2,86
