CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,0,0,0,2,0
0,0,0,2,0,1,0
0,0,0,0,0,0,0
0,0,0,4,1,0,0
0,0,0,9,2,5,2
0,0,0,3,0,0,0
0,0,0,0,0,0,0
