Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
36,4,2,15,0,29
0,91,0,0,0,0
0,0,3,0,0,0
0,1,0,77,0,17
2,5,1,2,66,12
0,0,0,6,3,88
