CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6
1,0,0,2,1,0
3,0,0,1,0,0
2,0,1,3,0,0
17,0,0,12,3,0
35,0,3,12,6,3
6,0,2,11,2,0
