CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,3,1,0,0,0
0,0,4,0,0,0,0
0,0,5,0,0,0,1
0,0,29,1,0,0,2
0,0,53,4,0,0,2
0,0,18,2,0,0,1
0,0,0,0,0,0,0
