Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
46,3,5,17,0,29
0,100,0,0,0,0
0,1,99,0,0,0
1,1,0,81,0,17
3,7,1,7,72,10
3,2,0,9,2,84
