Class,TP,FP,FN,TN,Precision,Recall,F1
C1,10,9,8,233,0.5263157894736842,0.5555555555555556,0.5405405405405406
C2,3,3,22,232,0.5,0.12,0.1935483870967742
C3,3,28,16,213,0.0967741935483871,0.15789473684210525,0.12
C4,15,38,9,198,0.2830188679245283,0.625,0.38961038961038963
C5,11,9,28,212,0.55,0.28205128205128205,0.3728813559322034
C6,18,13,33,196,0.5806451612903226,0.35294117647058826,0.43902439024390244
C7,11,33,33,183,0.25,0.25,0.25
C8,4,4,21,231,0.5,0.16,0.24242424242424243
C9,0,0,2,258,0.0,0.0,0.0
C10,2,7,8,243,0.2222222222222222,0.2,0.21052631578947367
C11,9,22,12,217,0.2903225806451613,0.42857142857142855,0.34615384615384615
C12,4,0,1,255,1.0,0.8,0.8888888888888888
C13,8,11,29,212,0.42105263157894735,0.21621621621621623,0.2857142857142857
C14,24,35,54,147,0.4067796610169492,0.3076923076923077,0.35036496350364965
C15,23,0,5,232,1.0,0.8214285714285714,0.9019607843137255
C16,0,6,1,253,0.0,0.0,0.0
C17,0,1,1,258,0.0,0.0,0.0
C18,2,4,2,252,0.3333333333333333,0.5,0.4
