Class,TP,FP,FN,TN,Precision,Recall,F1
C1,6,22,12,221,0.21428571428571427,0.3333333333333333,0.2608695652173913
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,23,180,1,57,0.11330049261083744,0.9583333333333334,0.2026431718061674
C5,0,0,39,222,0.0,0.0,0.0
C6,38,102,14,107,0.2714285714285714,0.7307692307692307,0.3958333333333333
C7,4,19,40,198,0.17391304347826086,0.09090909090909091,0.11940298507462686
C8,1,0,24,236,1.0,0.04,0.07692307692307693
C9,0,0,2,259,0.0,0.0,0.0
C10,1,14,9,237,0.06666666666666667,0.1,0.08
C11,7,13,14,227,0.35,0.3333333333333333,0.34146341463414637
C12,0,0,5,256,0.0,0.0,0.0
C13,0,3,37,221,0.0,0.0,0.0
C14,1,2,77,181,0.3333333333333333,0.01282051282051282,0.024691358024691357
C15,26,3,2,230,0.896551724137931,0.9285714285714286,0.9122807017543859
C16,0,13,1,247,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,1,0,3,257,1.0,0.25,0.4
