CVM-S1,CVM-S2,CVM-S3,CVM-S4,CVM-S5,CVM-S6,UNMAPPED
0,0,0,0,0,0,4
0,0,0,0,0,0,4
0,0,0,0,0,0,6
0,0,0,0,0,0,32
0,0,1,0,0,0,58
0,0,1,0,0,0,20
0,0,0,0,0,0,0
