,precision,recall,f1-score,support
Grade_1,0.2982456140350877,0.6538461538461539,0.40963855421686746,26.0
Grade_2,0.6551724137931034,0.4523809523809524,0.5352112676056338,84.0
Grade_3,0.20588235294117646,0.1794871794871795,0.1917808219178082,39.0
accuracy,0.4161073825503356,0.4161073825503356,0.4161073825503356,0.4161073825503356
macro avg,0.38643346025645586,0.4285714285714286,0.37887688124676977,149.0
weighted avg,0.47529047307542854,0.4161073825503356,0.42340806002218995,149.0
