Class,TP,FP,FN,TN,Precision,Recall,F1
Cavity,0,0,12,61,0.0,0.0,0.0
Fillings,50,5,7,11,0.9090909090909091,0.8771929824561403,0.8928571428571429
Impacted Tooth,13,8,4,48,0.6190476190476191,0.7647058823529411,0.6842105263157895
Implant,29,6,2,36,0.8285714285714286,0.9354838709677419,0.8787878787878788
