Class,Precision,Recall,F1,Support
Dental Caries,0.9183673469387755,0.45,0.6040268456375839,100.0
Gingivitis,0.8403361344537815,1.0,0.91324200913242,100.0
Class III Malocclusion,0.9,1.0,0.9473684210526315,99.0
Pulpitis,0.7130434782608696,0.82,0.7627906976744186,100.0
Tooth Loss,0.9705882352941176,0.66,0.7857142857142857,100.0
Tooth Structure Loss,0.6304347826086957,0.87,0.7310924369747899,100.0
