Class,TP,FP,FN,TN,Precision,Recall,F1
Permanent teeth,31,195,0,0,0.13716814159292035,1.0,0.24124513618677043
Primary teeth,13,2,200,11,0.8666666666666667,0.06103286384976526,0.11403508771929824
