Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
22,0,16,0,36,26
0,57,1,0,0,42
0,0,99,0,0,1
10,0,0,17,53,20
0,1,4,0,92,3
2,0,0,0,81,17
