Class,TP,FP,FN,TN,Precision,Recall,F1
C1,10,8,8,235,0.5555555555555556,0.5555555555555556,0.5555555555555556
C2,2,6,23,230,0.25,0.08,0.12121212121212122
C3,1,16,18,226,0.058823529411764705,0.05263157894736842,0.05555555555555555
C4,13,44,11,193,0.22807017543859648,0.5416666666666666,0.32098765432098764
C5,10,9,29,213,0.5263157894736842,0.2564102564102564,0.3448275862068966
C6,12,18,40,191,0.4,0.23076923076923078,0.2926829268292683
C7,16,33,28,184,0.32653061224489793,0.36363636363636365,0.34408602150537637
C8,3,2,22,234,0.6,0.12,0.2
C9,0,0,2,259,0.0,0.0,0.0
C10,3,9,7,242,0.25,0.3,0.2727272727272727
C11,9,35,12,205,0.20454545454545456,0.42857142857142855,0.27692307692307694
C12,4,0,1,256,1.0,0.8,0.8888888888888888
C13,5,11,32,213,0.3125,0.13513513513513514,0.18867924528301888
C14,29,44,49,139,0.3972602739726027,0.3717948717948718,0.3841059602649007
C15,24,1,4,232,0.96,0.8571428571428571,0.9056603773584906
C16,0,4,1,256,0.0,0.0,0.0
C17,0,1,1,259,0.0,0.0,0.0
C18,2,2,2,255,0.5,0.5,0.5
