Dental Caries,Gingivitis,Class III Malocclusion,Pulpitis,Tooth Loss,Tooth Structure Loss
89,0,0,9,2,0
52,40,0,1,7,0
90,0,8,2,0,0
71,0,0,28,1,0
54,1,0,26,19,0
94,0,0,5,1,0
