Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,0,4,62,0.0,0.0,0.0
C2,0,0,4,62,0.0,0.0,0.0
C3,0,0,1,65,0.0,0.0,0.0
C4,0,0,4,62,0.0,0.0,0.0
C5,0,0,9,57,0.0,0.0,0.0
C6,0,0,15,51,0.0,0.0,0.0
C7,0,0,9,57,0.0,0.0,0.0
C8,0,0,6,60,0.0,0.0,0.0
C9,0,0,0,66,0.0,0.0,0.0
C10,0,0,1,65,0.0,0.0,0.0
C11,0,0,6,60,0.0,0.0,0.0
C12,0,0,2,64,0.0,0.0,0.0
C13,0,0,8,58,0.0,0.0,0.0
C14,20,45,0,1,0.3076923076923077,1.0,0.47058823529411764
C15,1,0,7,58,1.0,0.125,0.2222222222222222
C16,0,0,0,66,0.0,0.0,0.0
C17,0,0,0,66,0.0,0.0,0.0
C18,0,0,2,64,0.0,0.0,0.0
